Feature,Importance,Importance_Percentage
time_spent,0.4083710951383418,40.84
lifetime_session_count,0.05717308410228922,5.72
SignupTime,0.04098037255810917,4.1
IsFreeConsultationTaken,0.04055062608356321,4.06
session_count,0.03804864625182265,3.8
HasTakenChatConsultation,0.03791739520637365,3.79
Age,0.03655156212021553,3.66
HadPositiveInteraction,0.036085446603571415,3.61
HasTakenCallConsultation,0.03524539442797198,3.52
os_version,0.02886454118283147,2.89
app_version,0.02344116371206919,2.34
City,0.02309684975582889,2.31
HadNegativeInteraction,0.018839022263603445,1.88
language,0.01619526135040753,1.62
Campaign,0.015503183827645432,1.55
Acquisition Source,0.013683484500366402,1.37
Campaign Adgroup,0.01367742417482774,1.37
SignupDay,0.013513116863975034,1.35
isp,0.012150798212519966,1.22
Gender,0.011118989099111956,1.11
Campaign Group,0.010086299348599868,1.01
device_manufacturer,0.009722305164187423,0.97
State,0.00945948495813879,0.95
DeviceType,0.009212077898579913,0.92
device_name,0.008661044423181562,0.87
store,0.007691337941482984,0.77
CountryId,0.005773078937512297,0.58
HasTakenOtherConsultation,0.005694615022264175,0.57
platform,0.004832176113663865,0.48
HasRated,0.003291713244086358,0.33
HasUsedGift,0.002607753006782343,0.26
os_name,0.0016436011846156923,0.16
HasReviewed,0.00031705532145896725,0.03
