Feature,Score_Bucket,Analysis_Type,Value_Mean,Value_Median,Top_Category,Users
SignupDay,0.00-0.20 Very Low,categorical,,,Fri,
SignupDay,0.20-0.40 Low,categorical,,,Wed,
SignupDay,0.40-0.60 Medium,categorical,,,Thu,
SignupDay,0.60-0.80 High,categorical,,,Fri,
SignupDay,0.80-1.00 Very High,categorical,,,Sun,
SignupTime,0.00-0.20 Very Low,numeric,12.392,13.0,,693
SignupTime,0.20-0.40 Low,numeric,10.824,10.0,,613
SignupTime,0.40-0.60 Medium,numeric,10.631,11.0,,157
SignupTime,0.60-0.80 High,numeric,12.37,14.0,,27
SignupTime,0.80-1.00 Very High,numeric,12.2,13.0,,10
DeviceType,0.00-0.20 Very Low,categorical,,,Android,
DeviceType,0.20-0.40 Low,categorical,,,Android,
DeviceType,0.40-0.60 Medium,categorical,,,Android,
DeviceType,0.60-0.80 High,categorical,,,Android,
DeviceType,0.80-1.00 Very High,categorical,,,iOS,
IsFreeConsultationTaken,0.00-0.20 Very Low,numeric,0.24,0.0,,693
IsFreeConsultationTaken,0.20-0.40 Low,numeric,0.414,0.0,,613
IsFreeConsultationTaken,0.40-0.60 Medium,numeric,0.548,1.0,,157
IsFreeConsultationTaken,0.60-0.80 High,numeric,0.741,1.0,,27
IsFreeConsultationTaken,0.80-1.00 Very High,numeric,0.5,0.5,,10
CountryId,0.00-0.20 Very Low,numeric,1.381,1.0,,693
CountryId,0.20-0.40 Low,numeric,1.307,1.0,,613
CountryId,0.40-0.60 Medium,numeric,1.357,1.0,,157
CountryId,0.60-0.80 High,numeric,1.148,1.0,,27
CountryId,0.80-1.00 Very High,numeric,1.4,1.0,,10
Gender,0.00-0.20 Very Low,categorical,,,Male,
Gender,0.20-0.40 Low,categorical,,,Male,
Gender,0.40-0.60 Medium,categorical,,,Female,
Gender,0.60-0.80 High,categorical,,,Male,
Gender,0.80-1.00 Very High,categorical,,,Female,
Age,0.00-0.20 Very Low,numeric,30.453,31.0,,693
Age,0.20-0.40 Low,numeric,30.351,30.0,,613
Age,0.40-0.60 Medium,numeric,28.433,28.0,,157
Age,0.60-0.80 High,numeric,30.407,32.0,,27
Age,0.80-1.00 Very High,numeric,35.3,34.0,,10
City,0.00-0.20 Very Low,categorical,,,Delhi,
City,0.20-0.40 Low,categorical,,,Jaipur,
City,0.40-0.60 Medium,categorical,,,Mumbai,
City,0.60-0.80 High,categorical,,,Pune,
City,0.80-1.00 Very High,categorical,,,Delhi,
State,0.00-0.20 Very Low,categorical,,,Unknown,
State,0.20-0.40 Low,categorical,,,Karnataka,
State,0.40-0.60 Medium,categorical,,,Rajasthan,
State,0.60-0.80 High,categorical,,,MP,
State,0.80-1.00 Very High,categorical,,,Maharashtra,
HasTakenChatConsultation,0.00-0.20 Very Low,numeric,0.183,0.0,,693
HasTakenChatConsultation,0.20-0.40 Low,numeric,0.356,0.0,,613
HasTakenChatConsultation,0.40-0.60 Medium,numeric,0.51,1.0,,157
