Percentile_Bucket,Users,Min_Score,Max_Score,Avg_Score,Actual_Positives,Conversion_Rate
Bottom 10%,400,0.0325,0.1108,0.0865,8,0.02
80-90%,400,0.1108,0.1379,0.1243,26,0.065
70-80%,400,0.1379,0.1595,0.1491,32,0.08
60-70%,400,0.1596,0.1825,0.1716,48,0.12
50-60%,400,0.1827,0.2083,0.1954,61,0.1525
40-50%,400,0.2083,0.2405,0.2241,82,0.205
30-40%,400,0.2407,0.281,0.2594,110,0.275
20-30%,400,0.2811,0.3359,0.3067,140,0.35
10-20%,400,0.3359,0.4241,0.3757,174,0.435
Top 10%,400,0.4241,0.9667,0.5532,297,0.7425
